Density: 0.94, dimension: 82800
Density: 0.94, dimension: 82900
Density: 0.94, dimension: 83000
Density: 0.94, dimension: 83100
Density: 0.94, dimension: 83200
Density: 0.94, dimension: 83300
Density: 0.94, dimension: 83400
Density: 0.94, dimension: 83500
Density: 0.94, dimension: 83600
Density: 0.94, dimension: 83700
Density: 0.94, dimension: 83800
Density: 0.94, dimension: 83900
Density: 0.94, dimension: 84000
Density: 0.94, dimension: 84100
Density: 0.94, dimension: 84200
Density: 0.94, dimension: 84300
Density: 0.94, dimension: 84400
Density: 0.94, dimension: 84500
Density: 0.94, dimension: 84600
Density: 0.94, dimension: 84700
Density: 0.94, dimension: 84800
Density: 0.94, dimension: 84900
Density: 0.94, dimension: 85000
Density: 0.94, dimension: 85100
Density: 0.94, dimension: 85200
Density: 0.94, dimension: 85300
Density: 0.94, dimension: 85400
Density: 0.94, dimension: 85500
Density: 0.94, dimension: 85600
Density: 0.94, dimension: 85700
Density: 0.94, dimension: 85800
Density: 0.94, dimension: 85900
Density: 0.94, dimension: 86000
Density: 0.94, dimension: 86100
Density: 0.94, dimension: 86200
Density: 0.94, dimension: 86300
Density: 0.94, dimension: 86400
Density: 0.94, dimension: 86500
Density: 0.94, dimension: 86600
Density: 0.94, dimension: 86700
Density: 0.94, dimension: 86800
Density: 0.94, dimension: 86900
Density: 0.94, dimension: 87000
Density: 0.94, dimension: 87100
Density: 0.94, dimension: 87200
Density: 0.94, dimension: 87300
Density: 0.94, dimension: 87400
Density: 0.94, dimension: 87500
